WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
A2WC99P2MCT85P,3VAR3R6G1WDE9JYQKZ66OPR3JEC8OI,1,-620387825,Thank you for joining our study on 2023-05-01
A1MU5859O154KL,32SVAV9L3ML36IYJYZ6SWDZNEEK3AW,1,1454724803,Thank you for joining our study on 2023-05-08
A36ADZHZFFDEQA,3BDCF01OG46LI4MBKBO8VLBBHN5LYL,11.67,-257901230,Thank you for joining our study on 2023-05-02
A1RNVZBA9YT76K,3YMU66OBIUKJAHILZKN4WTB0W22GHS,1,518481667,Thank you for joining our study on 2023-05-02
A2GPPUNLCCQX83,3X87C8JFVDNZDFQFDA4FULM4A09QSY,1,1776044666,Thank you for joining our study on 2023-05-01
AV7UX8QQXABSK,3PQMUDRV7YIX23Z0VQ5SHHPVASQIIV,1,-1854390023,Thank you for joining our study on 2023-05-01
A37XBH865833FE,3XM0HYN6NRBD3KKIC25L5ZSF4ETEPB,13.61,248252053,Thank you for joining our study on 2023-05-02
A1NMCSVPHOTPYG,3VAR3R6G1WDE9JYQKZ66OPR3J308OK,1,-279165498,Thank you for joining our study on 2023-05-02
A1VSHM4NLZ705D,3K2755HG5ZFWK1HO24YWNNWQ2RKDFJ,1,-2143614850,Thank you for joining our study on 2023-05-02
A2TTPULEGF8963,3J4Q2Z4UT5FSKW7OXFEGRAPPGG6QWK,10.44,-1701289176,Thank you for joining our study on 2023-05-02
A35AW01EIPS2VV,33IZTU6J88DJMCRRZOZ7OTIX8E0SXO,14.38,-414551219,Thank you for joining our study on 2023-05-02
A2WNTI69VVVWMZ,3ATPCQ38JFM4MLV7NKZIM7V0NU4YAG,1,-622570102,Thank you for joining our study on 2023-05-02
A32664578BFZ29,3VW04L3ZL0IRITDQTY5UN1ZPNT5XX4,11.8,1262443927,Thank you for joining our study on 2023-05-02
A3OLRWACCCCUTU,3Z7VU45IP5T8XNSCNN88PDBZQES1ZH,14.57,214513188,Thank you for joining our study on 2023-05-01
A1KEJAMU68FGEZ,31LM9EDVOS4LBFUXAO3KYQ0C9SUNJL,1,-904582013,Thank you for joining our study on 2023-05-08
A24WQ0ZEGXHX6J,3U5JL4WY5RL0KRPG9N3PQQ2RT94X4E,12.63,1027479278,Thank you for joining our study on 2023-05-01
A2PRF5G21RC5G3,3VNXK88KKJU9D8QXQ3YYJDGMZQAV95,1,1538131495,Thank you for joining our study on 2023-05-01
A1LA6CIGBNDOH9,3G0WWMR1U2W2X2YA5ENTVRCYNOQNQI,1,1865344819,Thank you for joining our study on 2023-05-01
A17TKHT8FEVH0R,3UNH76FOCZH5OM4WKNPNVYQ0GZGMYM,14.47,-785870112,Thank you for joining our study on 2023-05-05
AKIFH1YJXBQUK,3Z3ZLGNNSP6VTY50NV3EMDESH0QQ3H,1,1354007195,Thank you for joining our study on 2023-05-05
A1YT6E0W0SDP0R,3XM0HYN6NRBD3KKIC25L5ZSF3P6PEK,1,550438766,Thank you for joining our study on 2023-05-02
A1YC558J4E5KZ,3FE7TXL1LPZ68G9HJVP93390CA12Q6,1,2071354402,Thank you for joining our study on 2023-05-01
A1PZIN8H1VI6SY,3Z4GS9HPN2M3OZ18T8XYZ39DH0R77O,13.61,-46670589,Thank you for joining our study on 2023-05-02
A2R9OK4M877ZCC,3ZSANO2JCMJ2MQ06ZUTLIMIQ263FSB,1,-2079764981,Thank you for joining our study on 2023-05-02
APO4DD2J9RWGP,3PB5A5BD02IMHSC9MB1S5GM6G2FG73,13.21,-1341282467,Thank you for joining our study on 2023-05-08
ATKNH6OR2G11O,3OF2M9AATN0A3OEYVXEQUS7YXCNZKV,1,2093531695,Thank you for joining our study on 2023-05-02
A37R0JYAB3QEX9,3M0NZ3JDP8A7L5TVOAAKS3OHB4L5ZM,1,-1281900848,Thank you for joining our study on 2023-05-01
ADE4283NU45C9,3ZAZR5XV08USKQ2A3KXS69UQS4ACZT,1,1819853525,Thank you for joining our study on 2023-05-02
A3E50NZCJNLDG1,37WLF8U1WW28FEUNTSHFXUE3S6EK69,13.42,1425891306,Thank you for joining our study on 2023-05-01
A1MDZ1K2AL9EKW,3CFJTT4SX020DJI4CZ1VQSZMVLI7I9,10.98,-1374972982,Thank you for joining our study on 2023-05-08
A117DT5HP7HYR5,3JJVG1YBEI9B37QFIWUH6LHD9H1B57,1,191706771,Thank you for joining our study on 2023-05-05
A2W1C5PDHUF25O,33TIN5LC0BMQH2L2VELIQCKGGM2Y90,1,-1138909568,Thank you for joining our study on 2023-05-02
A2FI64D25UYS64,3M1CVSFP67HVDJ4LWAIO9LSYNVAAQV,1,-722973993,Thank you for joining our study on 2023-05-05
A1ROEDVMTO9Y3X,36WLNQG786MBZQJ8TXNKAFNQMA9EBK,1,992340773,Thank you for joining our study on 2023-05-08
A1ZLR6WXLCXRRO,3L4PIM1GQ0SWL2HOPVL4HXKAM9YRY8,13.13,-1235933836,Thank you for joining our study on 2023-05-05
AZTYIBLLB60V8,3G0WWMR1U2W2X2YA5ENTVRCYM03QNL,1,-890245405,Thank you for joining our study on 2023-05-02
A3CDJ8PZX578GQ,3TU5ZICBRKDHUVB6ZCYADUM3X52Q8V,11.13,2003912975,Thank you for joining our study on 2023-05-02
AHV4U78TUUDKI,3VE8AYVF8T9K36LXLWNG1VIPQ48F87,14.47,-963847554,Thank you for joining our study on 2023-05-05
A4ZCS7YTJS0DF,3S0TNUHWK0UN5M71UQSQDVF4EPKD8I,16.95,-1738029366,Thank you for joining our study on 2023-05-02
A2CWJRAEFZ44HU,37Z929RLGGKC5VI7UEYAZQXRU01TSU,1,206317517,Thank you for joining our study on 2023-05-01
ADKBTSKPX195Q,3HYA4D452YV9HRJ85FEFR45M429F2T,1,73306656,Thank you for joining our study on 2023-05-08
A2W121DQXNQK1,3P59JYT76SWJ0W190ZJ488KNVBK2TR,15.39,-1011950612,Thank you for joining our study on 2023-05-08
A26UAJWMMNN351,3FTOP5WARM0IQJ2Q9I1MNE4Z0CPJ01,14.56,-1096714483,Thank you for joining our study on 2023-05-02
A19OCD2Q0K2U6M,3ND9UOO81REHTZRB5A6KAOQV54OLWI,1,-2058150761,Thank you for joining our study on 2023-05-02
A24NKUCAX1LURL,3XXU1SWE8T77PQZMFCO9UF1GANHA0U,7.5,367625233,Thank you for joining our study on 2023-05-08
A3EUGO4VR2N4G1,3JJVG1YBEI9B37QFIWUH6LHD9EJB5J,1,-566106530,Thank you for joining our study on 2023-05-08
A2YB18JHC2C7GF,37W3JXSD6DK1TYYAOPVA4WSREKGYWD,1,1235510269,Thank you for joining our study on 2023-05-02
A2PI9LM5X9ET39,3S96KQ6I9TG636ZPXO3L4RBRS2VDTX,12.81,1779368957,Thank you for joining our study on 2023-05-08
A1I72NHC21347A,3NPI0JQDAVHFS32F2XUG4LSG6KRTPI,15.12,346589371,Thank you for joining our study on 2023-05-02
A16DGHNPYZ8K5S,3WQ3B2KGEFSCFPPWH9S53V4WXXP1B0,1,-1146824594,Thank you for joining our study on 2023-05-01
A31U7VGTEOY2RG,3WS1NTTKE5O2LHGUQSA18GC773GF0Y,9.76,157808409,Thank you for joining our study on 2023-05-05
